   3.00000000 -618.00811120 
   3.10000000 -618.00432749 
   3.20000000 -618.00057815 
   3.30000000 -617.99690012 
   3.40000000 -617.99336648 
   3.50000000 -617.98991673 
   3.60000000 -617.98671326 
   3.70000000 -617.98340760 
   3.80000000 -617.98076264 
   3.90000000 -617.97784859 
   4.00000000 -617.97571898 
   4.10000000 -617.97324169 
   4.20000000 -617.97098896 
   4.30000000 -617.96899585 
   4.40000000 -617.96712263 
   4.50000000 -617.96549039 
   4.60000000 -617.96403988 
   4.70000000 -617.96273015 
   4.80000000 -617.96153519 
   4.90000000 -617.96044588 
   5.00000000 -617.95945789 
