1 20 1   1.0   1.0 
   0.50118723  -1.10089811 
   0.60842987  -1.15508813 
   0.73861998  -1.17130220 
   0.89666781  -1.16003616 
   1.08853427  -1.13063133 
   1.32145577  -1.09219186 
   1.60421716  -1.05387330 
   1.94748304  -1.02425383 
   2.36419999  -1.00783261 
   2.87008485  -1.00173523 
   3.48421754  -1.00023896 
   4.22976062  -0.99999726 
   5.13483291  -0.99997026 
   6.23357002  -0.99996734 
   7.56741181  -0.99996679 
   9.18666532  -0.99996665 
  11.15240214  -0.99996660 
  13.53876180  -0.99996659 
  16.43574799  -0.99996659 
  19.95262315  -0.99996659 
