1 20 1   1.0   1.0 
   0.50118723  -1.10442057 
   0.60842987  -1.15789524 
   0.73861998  -1.17386310 
   0.89666781  -1.16227759 
   1.08853427  -1.13247224 
   1.32145577  -1.09355156 
   1.60421716  -1.05469928 
   1.94748304  -1.02460729 
   2.36419999  -1.00792139 
   2.87008485  -1.00174997 
   3.48421754  -1.00024577 
   4.22976062  -1.00000034 
   5.13483291  -0.99997114 
   6.23357002  -0.99996759 
   7.56741181  -0.99996734 
   9.18666532  -0.99996634 
  11.15240214  -0.99996700 
  13.53876180  -0.99996559 
  16.43574799  -0.99996344 
  19.95262315  -0.53720394 
