 Autogenerated Input
20.10 9 0.50000000 1.1 
 	 R 	 Energy 
   0.94710661 -1.10423475 
   1.14976583 -1.15776657 
   1.39578948 -1.17386711 
   1.69445659 -1.16219958 
   2.05703166 -1.13159419 
   2.49718950 -1.09003064 
   3.03153109 -1.04448397 
   3.68020960 -1.00096318 
   4.46769051 -0.84504650 
   5.42367435 -0.87534285 
   6.58421694 -0.89088799 
   7.99308918 -0.89715712 
   9.70342794 -0.89850844 
   11.77974017 -0.89781590 
   14.30033586 -0.89656817 
   17.36028154 -0.89535706 
   21.07498578 -0.89434668 
   25.58455199 -0.89350943 
   31.05906251 -0.89282125 
   37.70499341 -0.89225393 

