1 20 1  14.0  14.0 
   0.50118723 -101.59095524 
   0.60842987 -104.68217271 
   0.73861998 -106.62739609 
   0.89666781 -107.65799504 
   1.08853427 -108.10057044 
   1.32145577 -108.23128498 
   1.60421716 -108.24130430 
   1.94748304 -108.21529388 
   2.36419999 -108.17934309 
   2.87008485 -108.14698029 
   3.48421754 -108.12404401 
   4.22976062 -108.10896412 
   5.13483291 -108.09814343 
   6.23357002 -108.08941175 
   7.56741181 -108.08212667 
   9.18666532 -108.07606690 
  11.15240214 -108.07104529 
  13.53876180 -108.06689322 
  16.43574799 -108.06346479 
  19.95262315 -108.06063620 
