1 20 1  14.0  14.0 
   0.50118723 -103.19910242 
   0.60842987 -106.33992935 
   0.73861998 -108.11791219 
   0.89666781 -108.92604471 
   1.08853427 -109.14442221 
   1.32145577 -109.07556713 
   1.60421716 -108.93336859 
   1.94748304 -108.83853772 
   2.36419999 -108.81328622 
   2.87008485 -108.80934556 
   3.48421754 -108.80826858 
   4.22976062 -108.80787517 
   5.13483291 -108.80783647 
   6.23357002 -108.80783048 
   7.56741181 -108.80782742 
   9.18666532 -108.80781890 
  11.15240214 -108.80782527 
  13.53876180 -108.80782726 
  16.43574799 -108.80781817 
  19.95262315 -108.80782556 
