1 20 1  14.0  14.0 
   0.50118723 -103.07284367 
   0.60842987 -106.20820937 
   0.73861998 -107.98053851 
   0.89666781 -108.78442744 
   1.08853427 -109.00020076 
   1.32145577 -108.92878278 
   1.60421716 -108.78282903 
   1.94748304 -108.68766066 
   2.36419999 -108.66784812 
   2.87008485 -108.66640856 
   3.48421754 -108.66612341 
   4.22976062 -108.66589760 
   5.13483291 -108.66585389 
   6.23357002 -108.66585109 
   7.56741181 -108.66585037 
   9.18666532 -108.66585015 
  11.15240214 -108.66585008 
  13.53876180 -108.66585006 
  16.43574799 -108.66585005 
  19.95262315 -108.66585005 
