1 20 1   1.0   1.0 
   0.50118723  -1.09732437
   0.60842987  -1.15119569
   0.73861998  -1.16764395
   0.89666781  -1.15665558
   1.08853427  -1.12761476
   1.32145577  -1.08968479
   1.60421716  -1.05205970
   1.94748304  -1.02323508
   2.36419999  -1.00742991
   2.87008485  -1.00162525
   3.48421754  -1.00021841
   4.22976062  -0.99999475
   5.13483291  -0.99997027
   6.23357002  -0.99996746
   7.56741181  -0.99996684
   9.18666532  -0.99996667
  11.15240214  -0.99996662
  13.53876180  -0.99996660
  16.43574799  -0.99996659
  19.95262315  -0.99996659
